PDatTime;Age;TEMP;JTEMP;STIRR;pH;pO2;AIRSP;MFC_B;MFC_C;MFC_D;VALVE_A;O2SP;VALVE_C;VALVE_D;PUMP_A;PUMP_B;SUBS_A;SUBS_B;SUBS_C;PUMPT_A;FOAMT;ACIDT;BASET;SUBST_A;SUBST_B;SUBST_C;VALVET_A;O2SPT;VALVET_C;VALVET_D;EXT_A;EXT_B;BALANCE_A;BALANCE_B;FLOW_A;REDOX;TURB;pHo;pO2o;EO2;ECO2;AIROV;N2SP;CO2SP
;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
;(h);(°C);(°C);(rpm);(pH);(%sat);(lpm);(lpm);(lpm);(lpm);(%);(%);(%);(%);(%);(%);(%);(%);(%);(ml);(ml);(ml);(ml);(ml);(ml);(ml);(l);(l);(l);(l);(%);(%);(g);(kg);(g/h);(mV);(AU);(pH);(%sat);(%);(%);(lpm);(%);(lpm)
12.11.2020 09:34:44;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.11.2020 09:39:44;8,33333333333333E-02;27,179893812709;39,2357821906354;800;5,18166335934597;84,197779264214;0,00067475;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0,3;27,9533333333333;0,498333333333333;0,498333333333333;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,00067475;0;0
12.11.2020 09:44:44;0,166666666666667;36,171321547619;42,2480106018519;832,435;5,16309868518518;43,66381;5,26496666666667E-04;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0,3;41,9998444444444;0,999994444444444;1,49666666666667;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;5,26496666666667E-04;0;0
12.11.2020 09:49:44;0,25;38,645138202381;39,3003597106481;965,9864;5,12862995;36,3272033333333;0,0003000025;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0,3;42;1,49667222222222;2,49666666666667;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,0003000025;0;0
12.11.2020 09:54:44;0,333333333333333;38,7541433333333;37,8561523541667;1091,29026666667;5,14724397777778;30,6606233333333;0,0010765;0;0;0;0,248336111111111;0;0;0;0;0;2,5;0;0;0;0,3;42;2,49666666666667;3,49666666666667;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,0010765;0;0
12.11.2020 09:59:44;0,416666666666667;38,10269825;36,8580010833333;965,166666666667;5,15371587777778;40,9693366666667;0,496661983050847;0;0;0;0,499997222222222;0;0;0;0;0;2,5;0;0;0;0,3;42;2,99999444444444;4,49666666666667;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,496661983050847;0;0
12.11.2020 10:04:44;0,5;37,3001500833333;36,0548510833333;800;5,11255693333333;55,4761644444444;0,500702013615819;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0,3;42;3,49667222222222;5,49666666666667;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,500702013615819;0;0
12.11.2020 10:09:44;0,583333333333333;36,50515;35,34985;800;5,10996016111111;68,8896888888889;0,5007725075;0;0;0;0,5;0;0;0;0;0;2,5;0;0;0;0,3;42;3,99999444444444;6,49666666666667;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,5007725075;0;0
